Blueberry Coffee Cake;1;Mix butter, 1 cup sugar, flour, 2 eggs, 2 tsp vanilla, baking powder, and milk to make cake batter. Blend easily. Add 3 cups of blueberries. Put 2 1/2 cups of batter in pan. Mix cream cheese, 1/2 cup sugar, 1 egg, lemon juice and 1 tsp vanilla to make filling. Put filling on top of batter. Top with remaining batter. Make streusel topping from flour, butter, brown sugar, ad cinnamon. Sprinkle on top of cake. Bake at 375 degrees for 1 hour and 5 minutes. Check after 50 minutes.;advanced;breakfast;1 h 5 m;butter, 1 cup sugar, flour, 2 eggs, 2 tsp vanilla, milk, 3 cups of blueberries, cream cheese, 1/2 cup sugar, 1 egg, lemon juice, brown sugar, cinnamon
Fresh Apple Cake;2;Mix apples and sugar well. Add oil, nuts, and eggs. Add vanilla and dry ingredients. Bake at 350 degrees for 40-45 minutes. Serve with whipped cream or top with cream cheese frosting.;beginner;breakfast;45 m;apples, sugar well, oil, nuts, eggs, vanilla
Fresh Pear Cake;3;Butter and flour a 9 inch round pan. Peel and slice pears. Blend eggs, sugar, milk, and salt. Add flour, mix well. Fold 1/2 of pears into batter. Pour into pan, fan remaining pears on top. Dot with butter. Bake at 350 degrees about 55 minutes. Sprinkle with powdered sugar.;medium;breakfast;55 m;butter, flour, pears, eggs, sugar, milk, salt
Graham Cracker Cake;4;Cream butter and sugar. Add crushed crackers, sour milk, and soda. Stir in nuts. Bake in 10 inch square baking pan. Bake in 350 degree oven for 30-35 minutes. Serve with whipped cream or thin powdered sugar icing.;beginner;breakfast;35 m;butter, sugar, crackers, milk, soda, nuts.
Refrigerator Cheesecake;5;Crush flakes, mix with butter and sugar. Press 3/4 of mixture into spring for pan. Chill. Soften gelatin in water. Beat egg yolks slightly, stir in salt, sugar and milk. Cook over hot water or very low heat. Stir constantly until it thickens. Remove from heat. Stir in softened gelatin. Cool. Beat cheese until creamy. Combine with lemon rind and juice. Add to gelatin mixture, mixing well. Whip cream until stiff. Beat egg whites until stiff but not dry. Fold cheese mixture to whipped cream. Spread in pan over crumb mixture. Sprinkle remaining crumbs on top. Chill until firm.;advanced;breakfast;45 m;crush flakes, butter, sugar, gelatin, water, egg, salt, sugar, milk, cheese, lemon 
Special Prune Cake*;6;"Blend sugar and oil. Add beaten eggs. Add dry ingredients with buttermilk. Add vanilla, prunes, and nuts. Pour into buttered pan about 12""x8"" in size. Bake at 300 degrees for 45 minutes. When cake is done and brown remove from oven and while still hot cover with icing. Icing Directions: Put all ingredients in medium saucepan and boil to soft ball stage. This will take 15 or 20 minutes, so start this before cake is to come out of the oven so icing may be poured on to cake immediately. Leave in pan, cut in squares to serve.";medium;breakfast;1 h;sugar, oil, eggs, butter, milk, vanilla, prunes, nuts.
Two Layer Chocolate Mayonnaise Cake;7;"Grease two 9"" layer pans, line with waxed paper. Sift dry ingredients into large bowl. Stir in mayonnaise. Stir in water and vanilla until smooth. Pour into pans. Bake at 350 degrees for 30 minutes. Cool. Frost with chocolate frosting.";medium;breakfast;40 m;water, vanilla, eggs, flour, sugar, chocolate
Upside Down Cake;8;Melt butter in oven-proof skillet. Add brown sugar. Arrange fruit in pan. To make cake batter, beat eggs about 5 minutes until thick and lemon colored. Gradually add sugar. Then add all at once fruit juice an vanilla. Sift together and beat in flour, baking powder, and salt. Pour batter over fruit an bake until done, about 45 minutes at 350 degrees.;beginner;breakfast;45 m;butter, sugar, eggs, fruit juice, vanilla
Bourbon Balls;9;"Melt chocolate in double boiler over hot water. Combine syrup and liquid. Combine crumbs, sugar, and nuts. Add chocolate mixture. Let stand 30 minutes. Shape in 1"" balls. Roll in granulated or powdered sugar. Let ripen i covered container at lest 3 days.";advanced;breakfast;45 m;chocolate, hot water, syrup, crumbs, sugar, nuts
Chocolate Crisp Bran Cookies;10;Sift flour, soda, and salt. Blend butter and sugar. Add eggs and vanilla, beat well. Add All-Bran cereal and chocolate chips. Add dry ingredients, mix well. Drop by spoonful onto cookie sheet. Bake at 375 degrees about 12 minutes.;beginner;breakfast;25 m;flour, soda, salt, butter, sugar, 3 eggs, vanilla, cereal, chocolate chips. 
